Crash Number,Day of the Week,Day ,Time of Day,Time ,Place,Controlled Access,Access ,Manner of Crash,Crash Manner,Crash Severity,Intersection Related,Intersection Relationship,At Intersection,Intersection Location,Functional Class,Lighting Conditions,Light Conditions ,Weather,Weather C,CU Roadway Condition,Roadway Condition,CU Roadway Curvature and Grade,Roadway Curvature,Latitude,Longitude
600073,Wednesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Possible Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight with Down Grade,Straight,33.657067,-86.268114
600101,Wednesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.453778,-87.01237
601177,Saturday,Weekend,3:00 PM to 3:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Left and Down Grade,Curve,30.74278,-87.88928
601310,Saturday,Weekend,6:00 PM to 6:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Dusk,Dark,Cloudy,Foggy,CU is Unknown,Dry,CU is Unknown,Curve,30.628985,-88.08891
601108,Saturday,Weekend,11:00 AM to 11:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Left and Level,Curve,34.057063,-86.860597
601480,Sunday,Weekend,2:00 PM to 2:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.437864,-86.082334
601536,Sunday,Weekend,6:00 PM to 6:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Dark - Continuous Lighting Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.199154,-87.548475
601592,Sunday,Weekend,10:00 AM to 10:59 AM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Null value,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.706435,-86.726677
600021,Wednesday,Weekday,5:00 AM to 5:59 AM,Peak Hour,Urban,Main Road, Controlled,Sideswipe - Same Direction,Sides,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.571642,-86.714685
602361,Tuesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.790918,-86.578282
603043,Wednesday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Off Ramp, Controlled,Rear End (front to rear),Rear-End,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Dark - Spot Illumination One Side of Roadway,Dark,Clear,Clear,Dry,Dry,Curve Left and Level,Curve,30.672323,-88.127122
603563,Friday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Sideswipe - Same Direction,Sides,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,34.628623,-86.936773
603805,Saturday,Weekend,7:00 AM to 7:59 AM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Interstate,Daylight,Daylight,Cloudy,Foggy,Wet,Wet,Curve Left and Level,Curve,34.163124,-86.873877
604213,Sunday,Weekend,5:00 PM to 5:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dusk,Dark,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,30.65514,-87.90713
603565,Friday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.987721,-86.156273
